uniqueid,fullname,gender,dob,party,stateabr,district,congress109,twitterhandle,Twitter,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,joined109
SmC-NJ04,"Smith, Christopher H.",M,3/4/53,Republican,NJ,4,109,,0,,,1/3/05,1/3/07,-48,
FeM-NJ07,"Ferguson, Mike",M,6/22/70,Republican,NJ,7,109,,0,,,1/3/05,1/3/07,34,
PaSrD-NJ10,"Payne, Donald M.",M,7/16/34,Democratic,NJ,10,109,,0,,,1/3/05,1/3/07,-29,
FrR-NJ11,"Frelinghuysen, Rodney P.",M,4/29/46,Republican,NJ,11,109,,0,,,1/3/05,1/3/07,-41,
GiJ-NV02,"Gibbons, Jim",M,12/16/44,Republican,NV,2,109,,0,,,1/3/05,1/3/07,-39,
WeA-NY09,"Weiner, Anthony D.",M,9/4/64,Democratic,NY,9,109,,0,,,1/3/05,1/3/07,-59,
OwM-NY11,"Owens, Major R.",M,6/28/36,Democratic,NY,11,109,,0,,,1/3/05,1/3/07,-31,
FoV-NY13,"Fossella, Vito",M,3/9/65,Republican,NY,13,109,,0,,,1/3/05,1/3/07,-60,
KeS-NY19,"Kelly, Sue W.",F,9/26/36,Republican,NY,19,109,,0,,,1/3/05,1/3/07,-31,
SwJ-NY20,"Sweeney, John E.",M,8/9/55,Republican,NY,20,109,,0,,,1/3/05,1/3/07,-50,
McM-NY21,"McNulty, Michael R.",M,9/16/47,Democratic,NY,21,109,,0,,,1/3/05,1/3/07,-42,
McJ-NY23,"McHugh, John M.",M,9/29/48,Republican,NY,23,109,,0,,,1/3/05,1/3/07,-43,
BoS-NY24,"Boehlert, Sherwood",M,9/28/36,Republican,NY,24,109,,0,,,1/3/05,1/3/07,-31,
WaJ-NY25,"Walsh, James T.",M,6/19/47,Republican,NY,25,109,,0,,,1/3/05,1/3/07,-42,
ReT-NY26,"Reynolds, Thomas M.",M,9/3/50,Republican,NY,26,109,,0,,,1/3/05,1/3/07,-45,
KuJ-NY29,"Kuhl, John R. Randy, Jr.",M,4/19/43,Republican,NY,29,109,,0,,,1/3/05,1/3/07,-38,
ScJ-OH02,"Schmidt, Jean",F,11/29/51,Republican,OH,2,109,,0,,,1/3/05,1/3/07,-46,
OxM-OH04,"Oxley, Michael G.",M,2/11/44,Republican,OH,4,109,,0,,,1/3/05,1/3/07,-39,
GiP-OH05,"Gillmor, Paul E.",M,2/1/39,Republican,OH,5,109,,0,,,1/3/05,1/3/07,-34,
HoD-OH07,"Hobson, David L.",M,11/17/36,Republican,OH,7,109,,0,,,1/3/05,1/3/07,-31,
JoS-OH11,"Jones, Stephanie Tubbs",F,9/10/49,Democratic,OH,11,109,,0,,,1/3/05,1/3/07,-44,
PrD-OH15,"Pryce, Deborah",F,7/29/51,Republican,OH,15,109,,0,,,1/3/05,1/3/07,-46,
ReR-OH16,"Regula, Ralph",M,12/3/24,Republican,OH,16,109,,0,,,1/3/05,1/3/07,-19,
HoD-OR05,"Hooley, Darlene",F,4/4/39,Democratic,OR,5,109,,0,,,1/3/05,1/3/07,-34,
EnP-PA03,"English, Phil",M,6/20/56,Republican,PA,3,109,,0,,,1/3/05,1/3/07,-51,
PeJ-PA05,"Peterson, John E.",M,12/25/38,Republican,PA,5,109,,0,,,1/3/05,1/3/07,-33,
WeC-PA07,"Weldon, Curt",M,7/22/47,Republican,PA,7,109,,0,,,1/3/05,1/3/07,-42,
ShD-PA10,"Sherwood, Don",M,3/5/41,Republican,PA,10,109,,0,,,1/3/05,1/3/07,-36,
MuJ-PA12,"Murtha, John P.",M,6/17/32,Democratic,PA,12,109,,0,,,1/3/05,1/3/07,-27,
MuT-PA18,"Murphy, Tim",M,9/11/52,Republican,PA,18,109,,0,,,1/3/05,1/3/07,-47,
PlT-PA19,"Platts, Todd Russell",M,3/5/62,Republican,PA,19,109,,0,,,1/3/05,1/3/07,-57,
BrH-SC01,"Brown, Henry E., Jr.",M,12/20/35,Republican,SC,1,109,,0,,,1/3/05,1/3/07,-30,
SpJ-SC05,"Spratt, John M., Jr.",M,11/1/42,Democratic,SC,5,109,,0,,,1/3/05,1/3/07,-37,
ClJ-SC06,"Clyburn, James E.",M,7/21/40,Democratic,SC,6,109,,0,,,1/3/05,1/3/07,-35,
JeW-TN01,"Jenkins, William L.",M,11/29/36,Republican,TN,1,109,,0,,,1/3/05,1/3/07,-31,
DaL-TN04,"Davis, Lincoln",M,9/13/43,Democratic,TN,4,109,,0,,,1/3/05,1/3/07,-38,
GoB-TN06,"Gordon, Bart",M,1/24/49,Democratic,TN,6,109,,0,,,1/3/05,1/3/07,-44,
TaJ-TN08,"Tanner, John S.",M,9/22/44,Democratic,TN,8,109,,0,,,1/3/05,1/3/07,-39,
BoH-TX23,"Bonilla, Henry",M,1/2/54,Republican,TX,23,109,,0,,,1/3/05,1/3/07,-49,
OrS-TX27,"Ortiz, Solomon P.",M,6/3/37,Democratic,TX,27,109,,0,,,1/3/05,1/3/07,-32,
GrG-TX29,"Green, Gene",M,10/17/47,Democratic,TX,29,109,,0,,,1/3/05,1/3/07,-42,
DaJ-VA01,"Davis, Jo Ann",F,6/29/50,Republican,VA,1,109,,0,,,1/3/05,1/3/07,-45,
DrT-VA02,"Drake, Thelma D.",F,11/20/49,Republican,VA,2,109,,0,,,1/3/05,1/3/07,-44,
DaT-VA11,"Davis, Tom",M,1/5/49,Republican,VA,11,109,,0,,,1/3/05,1/3/07,-44,
BaB-WA03,"Baird, Brian",M,3/7/56,Democratic,WA,3,109,,0,,,1/3/05,1/3/07,-51,
DiN-WA06,"Dicks, Norman D.",M,12/16/40,Democratic,WA,6,109,,0,,,1/3/05,1/3/07,-35,
SeF-WI05,"Sensenbrenner, F. James, Jr.",M,6/14/43,Republican,WI,5,109,,0,,,1/3/05,1/3/07,-38,
PeT-WI06,"Petri, Thomas E.",M,5/28/40,Republican,WI,6,109,,0,,,1/3/05,1/3/07,-35,
ObD-WI07,"Obey, David R.",M,10/3/38,Democratic,WI,7,109,,0,,,1/3/05,1/3/07,-33,
MoA-WV01,"Mollohan, Alan B.",M,5/14/43,Democratic,WV,1,109,,0,,,1/3/05,1/3/07,-38,
CuB-WY00,"Cubin, Barbara",F,11/30/46,Republican,WY,0,109,,0,,,1/3/05,1/3/07,-41,
FaE-AS00,"Faleomavaega, Eni F. H.",M,8/15/43,Democratic,AS,0,109,,0,,,1/3/05,1/3/07,-38,
BoM-GU00,"Bordallo, Madeleine Z.",F,5/31/33,Democratic,GU,0,109,,0,,,1/3/05,1/3/07,-28,
