uniqueid,fullname,gender,dob,party,stateabr,district,congress110,twitterhandle,joinedon,yearjoined,sessionstartedon,sessionendedon,agewhensessionstarted,twitter,NT,joined110
DjC-HI01,"Djou, Charles K.",M,8/9/70,Republican,HI,1,0,RepCharlesDjou,6/1/10,2010,,,,,,0
DeC-PA15,"Dent, Charles W.",M,5/24/60,Republican,PA,15,110,RepCharlieDent,1/1/11,2011,1/3/07,1/3/09,-53,,No Twitter,0
BuC-IL17,"Bustos, Cheri",F,10/17/61,Democratic,IL,17,0,RepCheri,1/1/13,2013,,,,,,0
RoC-TX21,"Roy, Chip",M,8/7/72,Republican,TX,21,0,RepChipRoy,1/1/19,2019,,,,,,0
PaC-NH01,"Pappas, Chris",M,6/4/80,Democratic,NH,1,0,RepChrisPappas,1/1/18,2018,,,,,,0
StC-UT02,"Stewart, Chris",M,7/15/60,Republican,UT,2,0,RepChrisStewart,1/1/13,2013,,,,,,0
FlC-TN03,"Fleischmann, Charles J. Chuck",M,10/11/62,Republican,TN,3,0,RepChuck,1/1/11,2011,,,,,,0
CiJ-AZ06,"Ciscomani, Juan",M,8/31/82,Republican,AZ,6,0,RepCiscomani,12/1/22,2022,,,,,,0
HiC-LA03,"Higgins, Clay",M,8/24/61,Republican,LA,3,0,RepClayHiggins,3/1/17,2017,,,,,,0
ClE-MO05,"Cleaver, Emanuel",M,10/26/44,Democratic,MO,5,110,repcleaver,7/1/20,2020,1/3/07,1/3/09,-37,,No Twitter,0
StC-FL06,"Stearns, Cliff",M,4/16/41,Republican,FL,6,110,RepCliffStearns,2/1/09,2009,1/3/07,1/3/09,-34,,No Twitter,0
ClM-TX27,"Cloud, Michael",M,5/13/75,Republican,TX,27,0,RepCloudTX,9/1/18,2018,,,,,,0
CoS-TN09,"Cohen, Steve",M,5/24/49,Democratic,TN,9,110,RepCohen,7/1/10,2010,1/3/07,1/3/09,-42,,No Twitter,0
AlC-TX32,"Allred, Colin Z.",M,4/15/83,Democratic,TX,32,0,RepColinAllred,12/1/18,2018,,,,,,0
CoC-CA22,"Conway, Connie",F,9/25/50,Republican,CA,22,0,RepConnieConway,7/1/22,2022,,,,,,0
BuC-MO01,"Bush, Cori",F,7/21/76,Democratic,MO,1,0,RepCori,6/1/18,2018,,,,,,0
CuH-TX28,"Cuellar, Henry",M,9/19/55,Democratic,TX,28,110,RepCuellar,11/1/10,2010,1/3/07,1/3/09,-48,,No Twitter,0
CuE-MD07,"Cummings, Elijah E.",M,1/18/51,Democratic,MD,7,110,RepCummings,8/1/12,2012,1/3/07,1/3/09,-44,,No Twitter,0
CuJ-SC01,"Cunningham, Joe",M,5/26/82,Democratic,SC,1,0,RepCunningham,1/1/19,2019,,,,,,0
ClC-FL19,"Clawson, Curt",M,9/28/59,Republican,FL,19,0,RepCurtClawson,8/1/14,2014,,,,,,0
StD-AL05,"Strong, Dale W.",M,5/8/70,Republican,AL,5,0,RepDaleStrong,1/1/17,2017,,,,,,0
BiD-NC08,"Bishop, Dan",M,7/1/64,Republican,NC,8,0,RepDanBishop,9/1/19,2019,,,,,,0
CrD-TX02,"Crenshaw, Dan",M,3/14/84,Republican,TX,2,0,RepDanCrenshaw,1/1/19,2019,,,,,,0
DoD-NY11,"Donovan, Daniel M., Jr.",M,11/6/56,Republican,NY,11,0,RepDanDonovan,7/1/15,2015,,,,,,0
GoD-NY10,"Goldman, Daniel S.",M,2/26/76,Democratic,NY,10,0,RepDanGoldman,1/1/23,2023,,,,,,0
KiD-MI08,"Kildee, Daniel T.",M,8/11/58,Democratic,MI,8,0,RepDanKildee,12/1/12,2012,,,,,,0
LuD-CA03,"Lungren, Daniel E.",M,9/22/46,Republican,CA,3,110,RepDanLungren,9/1/11,2011,1/3/07,1/3/09,-39,,No Twitter,0
DaD-IL07,"Davis, Danny K.",M,9/6/41,Democratic,IL,7,110,RepDannyDavis,8/1/12,2012,1/3/07,1/3/09,-34,,No Twitter,0
IsD-CA48,"Issa, Darrell E.",M,11/1/53,Republican,CA,48,110,repdarrellissa,8/1/09,2009,1/3/07,1/3/09,-46,,No Twitter,0
SoD-FL09,"Soto, Darren",M,2/25/78,Democratic,FL,9,0,RepDarrenSoto,1/1/17,2017,,,,,,0
JoD-OH14,"Joyce, David P.",M,3/17/57,Republican,OH,14,0,RepDaveJoyce,11/1/12,2012,,,,,,0
ScD-AZ01,"Schweikert, David",M,3/3/62,Republican,AZ,1,0,RepDavid,12/1/10,2010,,,,,,0
PrD-NC04,"Price, David E.",M,8/17/40,Democratic,NC,4,110,RepDavidEPrice,6/1/10,2010,1/3/07,1/3/09,-33,,No Twitter,0
KuD-TN08,"Kustoff, David",M,10/8/66,Republican,TN,8,0,RepDavidKustoff,1/1/17,2017,,,,,,0
RoD-NC07,"Rouzer, David",M,2/16/72,Republican,NC,7,0,RepDavidRouzer,9/1/12,2012,,,,,,0
DaS-KS03,"Davids, Sharice",F,5/22/80,Democratic,KS,3,0,RepDavids,1/1/19,2019,,,,,,0
ScD-GA13,"Scott, David",M,6/27/45,Democratic,GA,13,110,repdavidscott,7/1/10,2010,1/3/07,1/3/09,-38,,No Twitter,0
TrD-MD06,"Trone, David J.",M,9/21/55,Democratic,MD,6,0,RepDavidTrone,1/1/19,2019,,,,,,0
VaD-CA22,"Valadao, David G.",M,4/14/77,Republican,CA,22,0,RepDavidValadao,1/1/13,2013,,,,,,0
DeM-PA04,"Dean, Madeleine",F,6/6/59,Democratic,PA,4,0,RepDean,4/1/12,2012,,,,,,0
PhD-MN03,"Phillips, Dean",M,1/20/69,Democratic,MN,3,0,RepDeanPhillips,11/1/18,2018,,,,,,0
DiD-MI06,"Dingell, Debbie",F,11/23/53,Democratic,MI,6,0,RepDebDingell,11/1/13,2013,,,,,,0
HaD-NM01,"Haaland, Debra A.",F,12/2/60,Democratic,NM,1,0,RepDebHaaland,1/1/19,2019,,,,,,0
DeS-WA01,"DelBene, Suzan K.",F,2/17/62,Democratic,WA,1,0,RepDelBene,12/1/12,2012,,,,,,0
DeA-NY19,"Delgado, Antonio",M,1/28/77,Democratic,NY,19,0,repdelgado,1/1/19,2019,,,,,,0
DeC-PA17,"Deluzio, Christopher R.",M,7/13/84,Democratic,PA,17,0,RepDeluzio,12/1/22,2022,,,,,,0
KiD-WA06,"Kilmer, Derek",M,1/1/74,Democratic,WA,6,0,RepDerekKilmer,1/1/13,2013,,,,,,0
DeM-CA10,"DeSaulnier, Mark",M,3/31/52,Democratic,CA,10,0,RepDeSaulnier,1/1/15,2015,,,,,,0
D'A-NY04,"D''Esposito, Anthony",M,2/22/82,Republican,NY,4,0,RepDesposito,12/1/22,2022,,,,,,0
DeD-CO01,"DeGette, Diana",F,7/29/57,Democratic,CO,1,110,RepDianaDeGette,4/1/09,2009,1/3/07,1/3/09,-50,,No Twitter,0
BlD-TN06,"Black, Diane",F,1/16/51,Republican,TN,6,0,RepDianeBlack,2/1/10,2010,,,,,,0
TiD-NV01,"Titus, Dina",F,5/23/50,Democratic,NV,1,0,repdinatitus,3/1/10,2010,,,,,,0
LaD-CO05,"Lamborn, Doug",M,5/24/54,Republican,CO,5,110,RepDLamborn,5/1/12,2012,1/3/07,1/3/09,-47,,No Twitter,0
LeD-AZ08,"Lesko, Debbie",F,11/14/58,Republican,AZ,8,0,RepDLesko,5/1/18,2018,,,,,,0
MuD-FL26,"Mucarsel-Powell, Debbie",F,1/18/71,Democratic,FL,26,0,RepDMP,1/1/19,2019,,,,,,0
DoR-IL10,"Dold, Robert J.",M,6/23/69,Republican,IL,10,0,RepDold,1/1/11,2011,,,,,,0
PaJrD-NJ10,"Payne, Donald M., Jr.",M,12/17/58,Democratic,NJ,10,0,RepDonaldPayne,2/1/13,2013,,,,,,0
DoB-FL19,"Donalds, Byron",M,10/28/74,Republican,FL,19,0,RepDonaldsPress,12/1/20,2020,,,,,,0
BaD-NE02,"Bacon, Don",M,8/16/63,Republican,NE,2,0,RepDonBacon,1/1/17,2017,,,,,,0
BeD-VA08,"Beyer, Donald S., Jr.",M,6/20/50,Democratic,VA,8,0,RepDonBeyer,1/1/15,2015,,,,,,0
DaD-NC01,"Davis, Donald G.",M,8/29/71,Democratic,NC,1,0,RepDonDavis,1/1/23,2023,,,,,,0
YoD-AK00,"Young, Don",M,6/9/33,Republican,AK,0,110,repdonyoung,5/1/09,2009,1/3/07,1/3/09,-26,,No Twitter,0
CoD-GA09,"Collins, Doug",M,8/16/66,Republican,GA,9,0,RepDougCollins,1/1/13,2013,,,,,,0
FeA-GA03,"Ferguson, A. Drew, IV",M,11/15/66,Republican,GA,3,0,RepDrewFerguson,12/1/16,2016,,,,,,0
DuJ-CA13,"Duarte, John S.",M,9/9/66,Republican,CA,13,0,RepDuarteCA13,1/1/23,2023,,,,,,0
JoD-SD00,"Johnson, Dusty",M,9/30/76,Republican,SD,0,0,RepDustyJohnson,12/1/18,2018,,,,,,0
EvD-PA03,"Evans, Dwight",M,5/16/54,Democratic,PA,3,0,RepDwightEvans,11/1/09,2009,,,,,,0
WaD-FL25,"Wasserman Schultz, Debbie",F,9/27/66,Democratic,FL,25,110,RepDWStweets,2/1/13,2013,1/3/07,1/3/09,-59,,No Twitter,0
JoE-TX30,"Johnson, Eddie Bernice",F,12/3/35,Democratic,TX,30,110,RepEBJ,7/1/10,2010,1/3/07,1/3/09,-28,,No Twitter,0
CaE-HI01,"Case, Ed",M,9/27/52,Democratic,HI,1,0,RepEdCase,1/1/19,2019,,,,,,0
EdC-NC11,"Edwards, Chuck",M,9/13/60,Republican,NC,11,0,RepEdwards,12/1/22,2022,,,,,,0
WhE-KY01,"Whitfield, Ed",M,5/25/43,Republican,KY,1,110,RepEdWhitfield,1/1/11,2011,1/3/07,1/3/09,-36,,No Twitter,0
LuE-VA02,"Luria, Elaine G.",F,8/15/75,Democratic,VA,2,0,RepElaineLuria,1/1/19,2019,,,,,,0
CrE-AZ02,"Crane, Elijah",M,1/3/80,Republican,AZ,2,0,RepEliCrane,12/1/22,2022,,,,,,0
EnE-NY16,"Engel, Eliot L.",M,2/18/47,Democratic,NY,16,110,RepEliotEngel,7/1/10,2010,1/3/07,1/3/09,-40,,No Twitter,0
ElJ-TX06,"Ellzey, Jake",M,1/24/70,Republican,TX,6,0,RepEllzey,3/1/21,2021,,,,,,0
BuE-MO07,"Burlison, Eric",M,10/2/76,Republican,MO,7,0,RepEricBurlison,12/1/22,2022,,,,,,0
SoE-IL17,"Sorensen, Eric",M,3/18/76,Democratic,IL,17,0,RepEricSorensen,1/1/23,2023,,,,,,0
EsV-TX16,"Escobar, Veronica",F,9/15/69,Democratic,TX,16,0,RepEscobar,12/1/18,2018,,,,,,0
EsA-NY13,"Espaillat, Adriano",M,9/27/54,Democratic,NY,13,0,RepEspaillat,1/1/17,2017,,,,,,0
EzM-MS04,"Ezell, Mike",M,4/6/59,Republican,MS,4,0,RepEzell,12/1/22,2022,,,,,,0
FeR-IA04,"Feenstra, Randy",M,1/14/69,Republican,IA,4,0,RepFeenstra,1/1/21,2021,,,,,,0
VeF-TX34,"Vela, Filemon",M,2/13/63,Democratic,TX,34,0,RepFilemonVela,1/1/13,2013,,,,,,0
FiS-TN08,"Fincher, Stephen Lee",M,2/7/73,Republican,TN,8,0,RepFincherTN08,2/1/11,2011,,,,,,0
FiB-MN01,"Finstad, Brad",M,5/30/76,Republican,MN,1,0,repfinstad,8/1/22,2022,,,,,,0
FiM-MN07,"Fischbach, Michelle",F,11/3/65,Republican,MN,7,0,RepFischbach,12/1/20,2020,,,,,,0
FiS-WI05,"Fitzgerald, Scott",M,11/16/63,Republican,WI,5,0,RepFitzgerald,12/1/12,2012,,,,,,0
FiM-PA08,"Fitzpatrick, Michael G.",M,6/28/63,Republican,PA,8,0,RepFitzpatrick,1/1/11,2011,,,,,,0
FlJ-LA04,"Fleming, John",M,7/5/51,Republican,LA,4,0,RepFleming,10/1/09,2009,,,,,,0
FlL-TX07,"Fletcher, Lizzie",F,2/13/75,Democratic,TX,7,0,RepFletcher,12/1/18,2018,,,,,,0
GuF-NH01,"Guinta, Frank C.",M,9/26/70,Republican,NH,1,0,RepFrankGuinta,1/1/11,2011,,,,,,0
FrC-FL18,"Franklin, C. Scott",M,8/23/64,Republican,FL,18,0,RepFranklin,12/1/20,2020,,,,,,0
LuF-OK03,"Lucas, Frank D.",M,1/6/60,Republican,OK,3,110,RepFrankLucas,1/1/11,2011,1/3/07,1/3/09,-53,,No Twitter,0
KeF-PA12,"Keller, Fred",M,10/23/65,Republican,PA,12,0,RepFredKeller,6/1/19,2019,,,,,,0
UpF-MI06,"Upton, Fred",M,4/23/53,Republican,MI,6,110,RepFredUpton,3/1/10,2010,1/3/07,1/3/09,-46,,No Twitter,0
HiJ-AR02,"Hill, J. French",M,12/5/56,Republican,AR,2,0,repfrenchhill,12/1/14,2014,,,,,,0
GaM-WI08,"Gallagher, Mike",M,3/3/84,Republican,WI,8,0,RepGallagher,1/1/17,2017,,,,,,0
GaJ-CA08,"Garamendi, John",M,1/24/45,Democratic,CA,8,0,RepGaramendi,11/1/09,2009,,,,,,0
GaA-NY02,"Garbarino, Andrew R.",M,9/27/84,Republican,NY,2,0,RepGarbarino,12/1/20,2020,,,,,,0
GrG-LA06,"Graves, Garret",M,1/31/72,Republican,LA,6,0,RepGarretGraves,12/1/14,2014,,,,,,0
GaS-NJ05,"Garrett, Scott",M,7/9/59,Republican,NJ,5,110,RepGarrett,11/1/12,2012,1/3/07,1/3/09,-52,,No Twitter,0
AcG-NY05,"Ackerman, Gary L.",M,11/19/42,Democratic,NY,5,110,RepGaryAckerman,11/1/09,2009,1/3/07,1/3/09,-35,,No Twitter,0
MiG-CA31,"Miller, Gary G.",M,10/16/48,Republican,CA,31,110,RepGaryMiller,6/1/10,2010,1/3/07,1/3/09,-41,,No Twitter,0
DaG-KY04,"Davis, Geoff",M,10/26/58,Republican,KY,4,110,RepGeoffDavis,1/1/11,2011,1/3/07,1/3/09,-51,,No Twitter,0
CiG-CA39,"Cisneros, Gilbert Ray, Jr.",M,2/12/71,Democratic,CA,39,0,RepGilCisneros,1/1/19,2019,,,,,,0
IvG-MD04,"Ivey, Glenn",M,2/27/61,Democratic,MD,4,0,RepGlennIvey,1/1/23,2023,,,,,,0
GoJ-ME02,"Golden, Jared F.",M,7/25/82,Democratic,ME,2,0,RepGolden,1/1/19,2019,,,,,,0
GoV-TX34,"Gonzalez, Vicente",M,9/4/67,Democratic,TX,34,0,RepGonzalez,1/1/17,2017,,,,,,0
GoB-VA06,"Goodlatte, Bob",M,9/22/52,Republican,VA,6,110,RepGoodlatte,5/1/09,2009,1/3/07,1/3/09,-45,,No Twitter,0
GoP-AZ09,"Gosar, Paul A.",M,11/22/58,Republican,AZ,9,0,RepGosar,1/1/11,2011,,,,,,0
MeG-NY06,"Meng, Grace",F,10/1/75,Democratic,NY,6,0,RepGraceMeng,12/1/12,2012,,,,,,0
LaG-OH01,"Landsman, Greg",M,12/4/76,Democratic,OH,1,0,RepGregLandsman,1/1/23,2023,,,,,,0
MuG-NC03,"Murphy, Gregory",M,3/5/63,Republican,NC,3,0,RepGregMurphy,9/1/19,2019,,,,,,0
MeG-NY05,"Meeks, Gregory W.",M,9/25/53,Democratic,NY,5,110,RepGregoryMeeks,3/1/09,2009,1/3/07,1/3/09,-46,,No Twitter,0
PeG-IN06,"Pence, Greg",M,11/14/56,Republican,IN,6,0,RepGregPence,1/1/19,2019,,,,,,0
StG-AZ04,"Stanton, Greg",M,3/8/70,Democratic,AZ,4,0,RepGregStanton,1/1/19,2019,,,,,,0
StW-FL17,"Steube, W. Gregory",M,5/19/78,Republican,FL,17,0,RepGregSteube,1/1/19,2019,,,,,,0
WaG-OR02,"Walden, Greg",M,1/10/57,Republican,OR,2,110,repgregwalden,4/1/09,2009,1/3/07,1/3/09,-50,,No Twitter,0
GrG-WI06,"Grothman, Glenn",M,7/3/55,Republican,WI,6,0,RepGrothman,1/1/15,2015,,,,,,0
BiG-FL12,"Bilirakis, Gus M.",M,2/8/63,Republican,FL,12,110,RepGusBilirakis,3/1/09,2009,1/3/07,1/3/09,-56,,No Twitter,0
GuB-KY02,"Guthrie, Brett",M,2/18/64,Republican,KY,2,0,RepGuthrie,1/1/13,2013,,,,,,0
GuL-IL04,"Gutierrez, Luis V.",M,12/10/53,Democratic,IL,4,110,RepGutierrez,5/1/09,2009,1/3/07,1/3/09,-46,,No Twitter,0
MoG-WI04,"Moore, Gwen",F,4/18/51,Democratic,WI,4,110,RepGwenMoore,1/1/09,2009,1/3/07,1/3/09,-44,,No Twitter,0
HaJ-MN01,"Hagedorn, Jim",M,8/4/62,Republican,MN,1,0,RepHagedorn,1/1/19,2019,,,,,,0
HaH-WY00,"Hageman, Harriet M.",F,10/18/62,Republican,WY,0,0,RepHageman,10/1/22,2022,,,,,,0
StH-MI11,"Stevens, Haley M.",F,6/24/83,Democratic,MI,11,0,RepHaleyStevens,12/1/18,2018,,,,,,0
RoH-KY05,"Rogers, Harold",M,12/31/37,Republican,KY,5,110,RepHalRogers,4/1/12,2012,1/3/07,1/3/09,-31,,No Twitter,0
HaC-HI01,"Hanabusa, Colleen",f,5/4/51,Democratic,HI,1,0,RepHanabusa,1/1/11,2011,,,,,,0
JoH-GA04,"Johnson, Henry C. Hank, Jr.",M,10/2/54,Democratic,GA,4,110,RepHankJohnson,3/1/09,2009,1/3/07,1/3/09,-47,,No Twitter,0
HaC-NV04,"Hardy, Cresent",F,6/23/57,Republican,NV,4,0,RepHardy,1/1/15,2015,,,,,,0
RoH-CA48,"Rouda, Harley",M,12/10/61,Democratic,CA,48,0,RepHarley,12/1/18,2018,,,,,,0
HaD-TN01,"Harshbarger, Diana",F,1/1/60,Republican,TN,1,0,RepHarshbarger,1/1/21,2021,,,,,,0
HaV-MO04,"Hartzler, Vicky",F,10/13/60,Republican,MO,4,0,RepHartzler,1/1/11,2011,,,,,,0
HeJ-TX05,"Hensarling, Jeb",M,5/29/57,Republican,TX,5,110,RepHensarling,1/1/09,2009,1/3/07,1/3/09,-50,,No Twitter,0
HoG-NC02,"Holding, George",M,4/17/68,Republican,NC,2,0,RepHolding,1/1/13,2013,,,,,,0
HoS-NV04,"Horsford, Steven",M,4/29/73,Democratic,NV,4,0,RepHorsford,10/1/11,2011,,,,,,0
HoE-IN09,"Houchin, Erin",F,9/24/76,Republican,IN,9,0,RepHouchin,12/1/22,2022,,,,,,0
HoC-PA06,"Houlahan, Chrissy",F,6/5/57,Democratic,PA,6,0,RepHoulahan,10/1/18,2018,,,,,,0
HuJ-CA02,"Huffman, Jared",M,2/18/64,Democratic,CA,2,0,RepHuffman,1/1/13,2013,,,,,,0
HuB-MI04,"Huizenga, Bill",M,1/31/69,Republican,MI,4,0,RepHuizenga,1/1/11,2011,,,,,,0
HuR-IL14,"Hultgren, Randy",M,3/1/66,Republican,IL,14,0,RepHultgren,1/1/11,2011,,,,,,0
BeJ-MI01,"Bergman, Jack",M,2/2/47,Republican,MI,1,0,RepJackBergman,12/1/16,2016,,,,,,0
JaC-NY27,"Jacobs, Chris",M,11/28/66,Republican,NY,27,0,RepJacobs,6/1/20,2020,,,,,,0
HaJ-CT05,"Hayes, Jahana",F,3/8/73,Democratic,CT,5,0,RepJahanaHayes,1/1/19,2019,,,,,,0
CoJ-KY01,"Comer, James",M,8/19/72,Republican,KY,1,0,RepJamesComer,6/1/20,2020,,,,,,0
PoJ-CO02,"Polis, Jared",M,5/12/75,Democratic,CO,2,0,RepJaredPolis,1/1/12,2012,,,,,,0
CrJ-TX30,"Crockett, Jasmine",F,3/29/81,Democratic,TX,30,0,RepJasmine,1/1/23,2023,,,,,,0
CrJ-CO06,"Crow, Jason",M,3/15/79,Democratic,CO,6,0,RepJasonCrow,1/1/19,2019,,,,,,0
SmJ-MO08,"Smith, Jason",M,6/16/80,Republican,MO,8,0,RepJasonSmith,7/1/13,2013,,,,,,0
JaP-WA07,"Jayapal, Pramila",F,9/21/65,Democratic,WA,7,0,RepJayapal,1/1/17,2017,,,,,,0
BrJ-OK01,"Bridenstine, Jim",M,6/15/75,Republican,OK,1,0,RepJBridenstine,1/1/13,2013,,,,,,0
DuJ-SC03,"Duncan, Jeff",M,1/7/66,Republican,SC,3,0,RepJeffDuncan,1/1/11,2011,,,,,,0
JaJ-NC14,"Jackson, Jeff",M,9/12/82,Democratic,NC,14,0,RepJeffJackson,1/1/23,2023,,,,,,0
JeH-NY08,"Jeffries, Hakeem S.",M,8/4/70,Democratic,NY,8,0,RepJeffries,1/1/12,2012,,,,,,0
GoJ-PR00,"Gonzalez-Colon, Jenniffer",F,8/5/76,Republican,PR,0,0,RepJenniffer,1/1/17,2017,,,,,,0
CaJ-AL01,"Carl, Jerry L.",M,6/17/58,Republican,AL,1,0,RepJerryCarl,12/1/20,2020,,,,,,0
LeJ-CA41,"Lewis, Jerry",M,10/21/34,Republican,CA,41,110,RepJerryLewis,9/1/09,2009,1/3/07,1/3/09,-27,,No Twitter,0
NaJ-NY12,"Nadler, Jerrold",M,6/13/47,Democratic,NY,12,110,RepJerryNadler,5/1/09,2009,1/3/07,1/3/09,-40,,No Twitter,0
ToJ-HI02,"Tokuda, Jill N.",F,3/3/76,Democratic,HI,2,0,RepJillTokuda,1/1/23,2023,,,,,,0
BaJ-IN04,"Baird, James R.",M,6/4/45,Republican,IN,4,0,RepJimBaird,1/1/19,2019,,,,,,0
BaJ-IN03,"Banks, Jim",M,7/16/79,Republican,IN,3,0,RepJimBanks,1/1/17,2017,,,,,,0
CoJ-CA21,"Costa, Jim",M,4/13/52,Democratic,CA,21,110,RepJimCosta,1/1/11,2011,1/3/07,1/3/09,-45,,No Twitter,0
MaJ-UT04,"Matheson, Jim",M,3/21/60,Democratic,UT,4,110,RepJimMatheson,6/1/09,2009,1/3/07,1/3/09,-53,,No Twitter,0
McJ-WA07,"McDermott, Jim",M,12/28/36,Democratic,WA,7,110,RepJimMcDermott,4/1/10,2010,1/3/07,1/3/09,-30,,No Twitter,0
GoJ-CA34,"Gomez, Jimmy",M,11/25/74,Democratic,CA,34,0,RepJimmyGomez,3/1/14,2014,,,,,,0
PaJ-CA19,"Panetta, Jimmy",M,10/1/69,Democratic,CA,19,0,RepJimmyPanetta,11/1/16,2016,,,,,,0
BaJ-TX06,"Barton, Joe",M,9/15/49,Republican,TX,6,110,RepJoeBarton,2/1/09,2009,1/3/07,1/3/09,-42,,No Twitter,0
CoJ-CT02,"Courtney, Joe",M,4/6/53,Democratic,CT,2,110,RepJoeCourtney,10/1/09,2009,1/3/07,1/3/09,-46,,No Twitter,0
MoJ-NY25,"Morelle, Joseph D.",M,4/29/57,Democratic,NY,25,0,RepJoeMorelle,11/1/18,2018,,,,,,0
NeJ-CO02,"Neguse, Joe",M,5/13/84,Democratic,CO,2,0,RepJoeNeguse,12/1/18,2018,,,,,,0
WiJ-SC02,"Wilson, Joe",M,7/31/47,Republican,SC,2,110,RepJoeWilson,2/1/11,2011,1/3/07,1/3/09,-40,,No Twitter,0
BoJ-OH16,"Boccieri, John A.",M,10/5/69,Democratic,OH,16,0,RepJohnBoccieri,2/1/16,2016,,,,,,0
CoJ-MI13,"Conyers, John, Jr.",M,5/16/29,Democratic,MI,13,110,RepJohnConyers,4/1/10,2010,1/3/07,1/3/09,-22,,No Twitter,0
CuJ-UT03,"Curtis, John R.",M,5/10/60,Republican,UT,3,0,RepJohnCurtis,11/1/17,2017,,,,,,0
DuJ-TN02,"Duncan, John J., Jr.",M,7/21/47,Republican,TN,2,110,RepJohnDuncanJr,9/1/13,2013,1/3/07,1/3/09,-40,,No Twitter,0
FaJ-NY19,"Faso, John J.",M,8/25/52,Republican,NY,19,0,RepJohnFaso,1/1/17,2017,,,,,,0
JoJ-PA13,"Joyce, John",M,2/8/57,Republican,PA,13,0,RepJohnJoyce,1/1/19,2019,,,,,,0
KaJ-NY24,"Katko, John",M,11/9/62,Republican,NY,24,0,RepJohnKatko,1/1/15,2015,,,,,,0
KlJ-MN02,"Kline, John",M,9/6/47,Republican,MN,2,110,repjohnkline,9/1/09,2009,1/3/07,1/3/09,-40,,No Twitter,0
LaJ-CT01,"Larson, John B.",M,7/22/48,Democratic,CT,1,110,RepJohnLarson,6/1/09,2009,1/3/07,1/3/09,-41,,No Twitter,0
LeJ-GA05,"Lewis, John",M,2/21/40,Democratic,GA,5,110,repjohnlewis,4/1/09,2009,1/3/07,1/3/09,-33,,No Twitter,0
RoJ-TN06,"Rose, John W.",M,2/23/65,Republican,TN,6,0,RepJohnRose,1/1/19,2019,,,,,,0
ShJ-AZ03,"Shadegg, John B.",M,10/22/49,Republican,AZ,3,110,RepJohnShadegg,9/1/09,2009,1/3/07,1/3/09,-42,,No Twitter,0
RuJ-NJ03,"Runyan, Jon",M,11/27/73,Republican,NJ,3,0,RepJonRunyan,6/1/11,2011,,,,,,0
SeJ-NY15,"Serrano, Jose E.",M,10/24/43,Democratic,NY,15,110,RepJoseSerrano,4/1/09,2009,1/3/07,1/3/09,-36,,No Twitter,0
GoJ-NJ05,"Gottheimer, Josh",M,3/8/75,Democratic,NJ,5,0,RepJoshG,12/1/16,2016,,,,,,0
HaJ-CA09,"Harder, Josh",M,8/1/86,Democratic,CA,9,0,RepJoshHarder,1/1/19,2019,,,,,,0
VaJ-CA52,"Vargas, Juan",M,3/7/61,Democratic,CA,52,0,RepJuanVargas,3/1/13,2013,,,,,,0
ChJ-CA28,"Chu, Judy",F,7/7/53,Democratic,CA,28,0,RepJudyChu,9/1/10,2010,,,,,,0
LeJ-LA05,"Letlow, Julia",F,3/16/81,Republican,LA,5,0,repjulialetlow,4/1/21,2021,,,,,,0
KaK-HI02,"Kahele, Kaiali''i",M,3/28/74,Democratic,HI,2,0,RepKahele,1/1/21,2021,,,,,,0
KaS-CA37,"Kamlager-Dove, Sydney",F,7/20/72,Democratic,CA,37,0,RepKamlagerDove,1/1/23,2023,,,,,,0
BaK-CA37,"Bass, Karen",F,10/3/53,Democratic,CA,37,0,RepKarenBass,1/1/11,2011,,,,,,0
CaK-FL03,"Cammack, Kat",F,2/16/88,Republican,FL,3,0,RepKatCammack,1/1/20,2020,,,,,,0
HoK-NY26,"Hochul, Kathleen C.",F,8/27/58,Democratic,NY,26,0,RepKathyHochul,6/1/11,2011,,,,,,0
HiK-CA25,"Hill, Katie",F,8/25/87,Democratic,CA,25,0,RepKatieHill,11/1/18,2018,,,,,,0
PoK-CA47,"Porter, Katie",F,1/3/74,Democratic,CA,47,0,RepKatiePorter,1/1/19,2019,,,,,,0
GrK-TX12,"Granger, Kay",F,1/18/43,Republican,TX,12,110,RepKayGranger,7/1/10,2010,1/3/07,1/3/09,-36,,No Twitter,0
ClK-MA05,"Clark, Katherine M.",F,7/17/63,Democratic,MA,5,0,RepKClark,1/1/14,2014,,,,,,0
SeK-TX03,"Self, Keith",M,3/20/53,Republican,TX,3,0,RepKeithSelf,1/1/23,2023,,,,,,0
BuK-CO04,"Buck, Ken",M,2/16/59,Republican,CO,4,0,RepKenBuck,11/1/14,2014,,,,,,0
MaK-TX24,"Marchant, Kenny",M,2/23/51,Republican,TX,24,110,RepKenMarchant,3/1/09,2009,1/3/07,1/3/09,-44,,No Twitter,0
HeK-OK01,"Hern, Kevin",M,12/4/61,Republican,OK,1,0,repkevinhern,11/1/18,2018,,,,,,0
KiR-NV04,"Kihuen, Ruben J.",M,4/25/80,Democratic,NV,4,0,RepKihuen,1/1/17,2017,,,,,,0
KiK-CA03,"Kiley, Kevin",M,1/30/85,Republican,CA,3,0,RepKiley,1/1/23,2023,,,,,,0
ScK-WA08,"Schrier, Kim",F,8/23/68,Democratic,WA,8,0,RepKimSchrier,1/1/19,2019,,,,,,0
